(1,  3)
(2,  7)
(3,  2)
(4,  4)
(5,  6)
(6,  1)
(7,  5)
(8,  8)
(9,  2)
(10,  7)
(11,  1)
(12,  6)
(13,  3)
(14,  5)
(15,  8)
(16,  4)
(17,  6)
(18,  3)
(19,  7)
(20,  2)
(21,  5)
(22,  1)
(23,  4)
(24,  6)
(25,  5)
(26,  3)
(27,  7)
(28,  4)
(29,  1)
(30,  2)
(31,  3)
(32,  7)
(33,  6)
(34,  2)
(35,  5)
(36,  1)
(37,  8)
(38,  1)
(39,  6)
(40,  3)
(41,  7)
(42,  2)
(43,  3)
(44,  8)
(45,  5)
(46,  7)
(47,  3)
(48,  6)
(49,  1)
(50,  4)
(51,  6)
(52,  2)
(53,  4)
(54,  5)
(55,  8)
(56,  3)
(57,  1)
(58,  7)
(59,  2)
(60,  5)
